gameName,developer,gameType,gameDescription
['FIFA 22'],EA Canada,"['Soccer', 'Sports', 'Competitive', 'Simulation', 'Football', 'Multiplayer', 'Realistic', 'Singleplayer', 'Online Co-Op', 'Local Multiplayer', 'Local Co-Op', 'Controller', 'PvP', 'Family Friendly', 'eSports', 'Immersive Sim', 'Physics', 'Team-Based', 'Co-op', 'Cinematic']","Play FIFA 22, Get a Next Generation Player Item: receive an untradeable Next Generation Player Item in FIFA Ultimate Team starting December 15 when you play FIFA 22 by January 14, 2022*."
['OUTRIDERS'],People Can Fly,"['RPG', 'Looter Shooter', 'Action', 'Co-op', 'Third-Person Shooter', 'Adventure', 'Multiplayer', 'Loot', 'Gore', 'Shooter', 'Sci-fi', 'Singleplayer', 'Violent', 'Online Co-Op', 'Open World', 'Character Customization', 'Third Person', 'Post-apocalyptic', 'Sexual Content', 'Nudity']","Outriders’ brutal and bloody combat combines frenetic gunplay, violent powers and deep RPG systems to create a true genre hybrid."
['Jurassic World Evolution 2'],Frontier Developments,"['Dinosaurs', 'Simulation', 'Building', 'Strategy', 'Management', 'Sandbox', 'Singleplayer', 'City Builder', 'Sci-fi', 'Economy', 'Resource Management', 'Open World', 'Violent', 'Atmospheric', 'Action', 'Sequel', 'Survival']",Jurassic World Evolution 2 is the much-anticipated sequel to Frontier’s highly successful Jurassic World Evolution. This bold new era in the Jurassic World Evolution game franchise builds upon the ground-breaking and immersive 2018 management simulation.
[' '], ,[], 
['The Forest'],Endnight Games Ltd,"['Open World Survival Craft', 'Survival', 'Open World', 'Horror', 'Crafting', 'Adventure', 'Building', 'Survival Horror', 'First-Person', 'Action', 'Exploration', 'Sandbox', 'Atmospheric', 'Simulation', 'Singleplayer', 'Indie', 'Realistic', 'Gore', 'Early Access', 'Zombies']","As the lone survivor of a passenger jet crash, you find yourself in a mysterious forest battling to stay alive against a society of cannibalistic mutants. Build, explore, survive in this terrifying first person survival horror simulator."
['Microsoft Flight Simulator Game of the Year Edition'],Asobo Studio,"['Simulation', 'Flight', 'Open World', 'Realistic', 'Multiplayer', 'Singleplayer', 'Atmospheric', 'Real-Time', 'Physics', 'Adventure', 'VR', 'Colorful', 'Family Friendly', 'TrackIR', 'Logic', 'Life Sim', 'Surreal', 'Beautiful', 'Short', 'Boxing']","Thank you to our fans – new and old! Microsoft Flight Simulator Game of the Year (GOTY) Edition offers 5 all-new aircrafts, 8 new handcrafted airports, 6 new Discovery Flights, new tutorials, and updates to the weather system. GOTY Edition is free for existing users. The sky is calling!"
['Inscryption'],Daniel Mullins Games,"['Card Battler', 'Card Game', 'Deckbuilding', 'Horror', 'Story Rich', 'Roguelite', 'Psychological', 'Dark', 'Surreal', 'Puzzle', 'Strategy', 'Experimental', 'Point & Click', 'Roguelike', 'First-Person', 'FMV', '3D', '2D', 'Pixel Graphics', 'Adventure']","Inscryption is an inky black card-based odyssey that blends the deckbuilding roguelike, escape-room style puzzles, and psychological horror into a blood-laced smoothie. Darker still are the secrets inscrybed upon the cards..."
['Counter-Strike: Global Offensive'],Valve,"['FPS', 'Shooter', 'Multiplayer', 'Competitive', 'Action', 'Team-Based', 'eSports', 'Tactical', 'First-Person', 'PvP', 'Online Co-Op', 'Co-op', 'Strategy', 'Military', 'War', 'Difficult', 'Trading', 'Realistic', 'Fast-Paced', 'Moddable']","Counter-Strike: Global Offensive (CS: GO) expands upon the team-based action gameplay that it pioneered when it was launched 19 years ago. CS: GO features new maps, characters, weapons, and game modes, and delivers updated versions of the classic CS content (de_dust2, etc.)."
['New World'],Amazon Games,"['Massively Multiplayer', 'Open World', 'MMORPG', 'Adventure', 'RPG', 'Action', 'PvP', 'PvE', 'Multiplayer', 'Fantasy', 'Character Customization', 'Walking Simulator', 'Crafting', 'Third Person', 'Open World Survival Craft', 'Sandbox', 'Co-op', 'Violent', 'Souls-like', 'Sexual Content']","Explore a thrilling, open-world MMO filled with danger and opportunity where you'll forge a new destiny on the supernatural island of Aeternum."
[' '], ,[], 
[' '], ,"['Massively Multiplayer', 'MMORPG']", 
['It Takes Two'],Hazelight,"['Co-op', 'Adventure', 'Split Screen', 'Puzzle', 'Multiplayer', 'Local Co-Op', 'Story Rich', 'Puzzle Platformer', '3D Platformer', 'Online Co-Op', 'Local Multiplayer', 'Platformer', 'Action-Adventure', 'Co-op Campaign', 'Action', 'Female Protagonist', 'Emotional', 'Atmospheric', 'Exploration', 'Minigames']",Embark on the craziest journey of your life in It Takes Two. Invite a friend to join for free with Friend’s Pass and work together across a huge variety of gleefully disruptive gameplay challenges.
['New World'],Amazon Games,"['Massively Multiplayer', 'Open World', 'MMORPG', 'Adventure', 'RPG', 'Action', 'PvP', 'PvE', 'Multiplayer', 'Fantasy', 'Character Customization', 'Walking Simulator', 'Crafting', 'Third Person', 'Open World Survival Craft', 'Sandbox', 'Co-op', 'Violent', 'Souls-like', 'Sexual Content']","Explore a thrilling, open-world MMO filled with danger and opportunity where you'll forge a new destiny on the supernatural island of Aeternum."
[' '], ,[], 
